"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"4","4","Abiding Grace","mh2","Near Mint","English","","","2024-12-30 19:25:03.727000","1","False","False",""
"1","1","Abstruse Archaic","cmm","Near Mint","English","","","2025-01-02 03:18:57.677000","712","False","False",""
"1","1","Access Tunnel","ltc","Near Mint","English","","","2025-01-02 03:17:40.530000","294","False","False",""
"1","1","Acererak the Archlich","sld","Near Mint","English","foil","","2024-12-31 05:27:47.033000","1784","False","False",""
"2","2","Acolyte of Affliction","thb","Near Mint","English","foil","","2025-01-02 01:42:16.727000","206","False","False",""
"1","1","Aegis Angel","w16","Near Mint","English","","","2024-12-30 19:27:38.423000","1","False","False",""
"2","2","Agate Assault","blb","Near Mint","English","","","2024-12-31 06:18:18.137000","122","False","False",""
"3","3","Agate-Blade Assassin","blb","Near Mint","English","","","2024-12-30 21:51:51.247000","82","False","False",""
"1","1","Agent of the Shadow Thieves","clb","Near Mint","English","foil","","2024-12-31 08:51:06.657000","108","False","False",""
"2","2","Aggressive Urge","rix","Near Mint","English","foil","","2025-01-01 20:37:43.757000","122","False","False",""
"1","1","Agonizing Remorse","thb","Near Mint","English","foil","","2025-01-02 01:01:13.990000","83","False","False",""
"1","1","Ahn-Crop Invader","war","Near Mint","English","foil","","2025-01-01 23:34:10.767000","113","False","False",""
"1","1","Ajani, Strength of the Pride","m20","Near Mint","English","","","2024-12-30 20:12:47.807000","2","False","False",""
"1","1","Ajani, Strength of the Pride","plst","Near Mint","English","","","2025-01-02 03:35:14.457000","M20-2","False","False",""
"1","1","Akroma, Angel of Fury","sld","Near Mint","English","foil","","2025-01-01 20:08:14.117000","1287","False","False",""
"1","1","Akroma, Angel of Wrath","sld","Near Mint","English","foil","","2024-12-30 18:30:42.307000","489","False","False",""
"1","1","Akroma's Will","lcc","Near Mint","English","","","2025-01-02 03:20:11.470000","125","False","False",""
"1","1","Alania's Pathmaker","blb","Near Mint","English","","","2024-12-30 21:02:23.033000","123","False","False",""
"1","1","Alela, Artful Provocateur","brc","Near Mint","English","","","2025-01-02 03:34:38.403000","119","False","False",""
"1","1","Alirios, Enraptured","thb","Near Mint","English","foil","","2025-01-02 00:16:42.187000","42","False","False",""
"1","1","All Is Dust","cmm","Near Mint","English","","","2025-01-02 03:18:57.677000","800","False","False",""
"6","6","Ambush Viper","cmr","Near Mint","English","foil","","2025-01-01 21:04:45.147000","213","False","False",""
"2","2","Amorphous Axe","cmr","Near Mint","English","foil","","2025-01-02 01:56:16.220000","295","False","False",""
"2","2","Amrou Scout","tsr","Near Mint","English","foil","","2024-12-30 20:12:54.973000","1","False","False",""
"1","1","Amrou Seekers","tsr","Near Mint","English","foil","","2024-12-30 20:13:00.377000","2","False","False",""
"6","6","Ancestral Blade","cmr","Near Mint","English","foil","","2024-12-30 20:13:09.893000","5","False","False",""
"5","5","Ancient Animus","cmr","Near Mint","English","foil","","2025-01-01 21:05:00.340000","215","False","False",""
"1","1","Ancient Den","brc","Near Mint","English","","","2025-01-02 03:34:38.403000","172","False","False",""
"1","1","Ancient Stone Idol","cmm","Near Mint","English","","","2025-01-02 03:18:57.677000","940","False","False",""
"20","20","Angel","tdmu","Near Mint","English","","","2024-12-30 20:35:54.813000","1","False","False",""
"1","1","Angel of Condemnation","hou","Near Mint","English","","","2024-12-30 19:28:02.667000","3","False","False",""
"1","1","Angel of Destiny","plst","Near Mint","English","foil","","2025-01-02 03:35:14.457000","ZNR-2","False","False",""
"1","1","Angel of Finality","sld","Near Mint","English","foil","","2025-01-02 03:35:14.457000","1342","False","False",""
"1","1","Angel of Salvation","ddf","Near Mint","English","","","2024-12-30 19:27:49.043000","20","False","False",""
"1","1","Angel of Serenity","plst","Near Mint","English","foil","","2025-01-02 03:35:14.457000","RTR-1","False","False",""
"2","2","Angel of the Dawn","cmr","Near Mint","English","foil","","2024-12-30 19:26:58.793000","6","False","False",""
"1","1","Angel of the Ruins","brc","Near Mint","English","","","2025-01-02 03:34:38.403000","68","False","False",""
"1","1","Angel of the Ruins","sld","Near Mint","English","foil","","2025-01-02 03:35:14.457000","1343","False","False",""
"1","1","Angel of Vitality","plst","Near Mint","English","foil","","2025-01-02 03:35:14.457000","M20-4","False","False",""
"1","1","Angelheart Vial","roe","Near Mint","English","","","2024-12-30 19:29:46.977000","215","False","False",""
"1","1","Angelic Accord","plst","Near Mint","English","","","2025-01-02 03:35:14.457000","M14-3","False","False",""
"3","3","Angelic Armaments","cmr","Near Mint","English","foil","","2025-01-02 01:58:59.810000","296","False","False",""
"1","1","Angelic Destiny","m12","Near Mint","English","","","2024-12-30 19:25:20.060000","3","False","False",""
"1","1","Angelic Field Marshal","plst","Near Mint","English","foil","","2025-01-02 03:35:14.457000","CMM-13","False","False",""
"3","3","Angelic Gift","cmr","Near Mint","English","foil","","2024-12-30 19:25:26.383000","7","False","False",""
"2","2","Angel's Feather","m12","Near Mint","English","","","2024-12-30 19:25:47.640000","202","False","False",""
"1","1","Anger","ltc","Near Mint","English","","","2025-01-02 03:16:17.650000","210","False","False",""
"1","1","Anguished Unmaking","ltc","Near Mint","English","","","2025-01-02 03:17:40.530000","265","False","False",""
"3","3","Annoyed Altisaur","cmr","Near Mint","English","foil","","2025-01-01 20:54:18.273000","216","False","False",""
"3","3","Anointer of Valor","cmr","Near Mint","English","foil","","2024-12-30 19:27:29.803000","8","False","False",""
"1","1","Anointer of Valor","2x2","Near Mint","English","foil","","2024-12-30 19:27:33.020000","6","False","False",""
"1","1","Apex Altisaur","lcc","Near Mint","English","","","2025-01-02 03:20:11.470000","232","False","False",""
"1","1","Aqueous Form","cmr","Near Mint","English","foil","","2025-01-02 00:06:56.617000","56","False","False",""
"1","1","Aragorn, King of Gondor","ltc","Near Mint","English","foil","","2025-01-02 03:15:14.220000","5","False","False",""
"1","1","Arbor Elf","ltc","Near Mint","English","","","2025-01-02 03:16:37.853000","232","False","False",""
"1","1","Arc Blade","tsr","Near Mint","English","foil","","2025-01-01 20:17:34.520000","152","False","False",""
"1","1","Arcane Denial","ltc","Near Mint","English","","","2025-01-02 03:16:17.650000","184","False","False",""
"1","1","Arcane Lighthouse","cmm","Near Mint","English","","","2025-01-02 03:18:57.677000","985","False","False",""
"1","1","Arcane Sanctum","brc","Near Mint","English","","","2025-01-02 03:34:38.403000","173","False","False",""
"4","4","Arcane Signet","ltc","Near Mint","English","","","2025-01-02 03:17:40.530000","273","False","False",""
"1","1","Arcane Signet","clb","Near Mint","English","","","2025-01-02 03:35:54.547000","298","False","False",""
"1","1","Arcane Signet","brc","Near Mint","English","","","2025-01-02 03:34:38.403000","132","False","False",""
"1","1","Arcane Signet","plst","Near Mint","English","","","2025-01-02 03:35:14.457000","ELD-331","False","False",""
"1","1","Arcane Signet","sld","Near Mint","English","foil","","2024-12-31 05:41:35.250000","1492★","False","False",""
"1","1","Arcane Signet","lcc","Near Mint","English","","","2025-01-02 03:20:11.470000","299","False","False",""
"1","1","Arcane Subtraction","stx","Near Mint","English","foil","","2025-01-02 00:09:53.770000","36","False","False",""
"1","1","Arch of Orazca","lcc","Near Mint","English","","","2025-01-02 03:20:11.470000","319","False","False",""
"1","1","Arch of Orazca","cmm","Near Mint","English","","","2025-01-02 03:18:57.677000","986","False","False",""
"1","1","Arch of Orazca","plst","Near Mint","English","","","2025-01-02 03:35:14.457000","RIX-185","False","False",""
"1","1","Archangel Elspeth","mom","Near Mint","English","foil","","2024-12-30 18:31:06.553000","6","False","False",""
"1","1","Archangel of Thune","sld","Near Mint","English","foil","","2025-01-02 03:35:14.457000","1337","False","False",""
"1","1","Archangel of Tithes","plst","Near Mint","English","foil","","2025-01-02 03:35:14.457000","ORI-4","False","False",""
"1","1","Archivist of Gondor","ltc","Near Mint","English","","","2025-01-02 03:15:14.220000","18","False","False",""
"4","4","Archon of Falling Stars","thb","Near Mint","English","foil","","2024-12-30 20:13:17.993000","2","False","False",""
"1","1","Archpriest of Iona","clb","Near Mint","English","","","2025-01-02 03:35:54.547000","686","False","False",""
"1","1","Arden Angel","sld","Near Mint","English","foil","","2025-01-02 03:35:14.457000","1344","False","False",""
"1","1","Ardenvale Paladin","eld","Near Mint","English","foil","","2024-12-30 20:13:24.677000","4","False","False",""
"1","1","Armament of Nyx","jou","Near Mint","English","foil","","2024-12-30 20:13:31.583000","4","False","False",""
"1","1","Armix, Filigree Thrasher","brc","Near Mint","English","","","2025-01-02 03:34:38.403000","103","False","False",""
"2","2","Armory of Iroas","cmr","Near Mint","English","foil","","2025-01-02 01:54:33.490000","299","False","False",""
"1","1","Arrow Volley Trap","zen","Near Mint","English","foil","","2024-12-30 20:13:39.437000","2","False","False",""
"1","1","Artisan of Kozilek","cmm","Near Mint","English","","","2025-01-02 03:18:57.677000","801","False","False",""
"1","1","Artist's Talent","blb","Near Mint","English","","","2024-12-31 06:04:04.390000","124","False","False",""
"1","1","Arwen, Weaver of Hope","ltc","Near Mint","English","","","2025-01-02 03:16:37.853000","35","False","False",""
"1","1","Asceticism","ltc","Near Mint","English","","","2025-01-02 03:16:37.853000","233","False","False",""
"2","2","Ash Barrens","ltc","Near Mint","English","","","2025-01-02 03:17:40.530000","295","False","False",""
"1","1","Ash Barrens","clb","Near Mint","English","","","2025-01-02 03:35:54.547000","880","False","False",""
"1","1","Ash Barrens","brc","Near Mint","English","","","2025-01-02 03:34:38.403000","174","False","False",""
